:::MLLOG {"namespace":"","time_ms":1715266710242,"event_type":"INTERVAL_START","key":"power_measurement_start","value":"null","metadata":""}
:::MLLOG {"namespace": "", "time_ms": 1715266714247, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2704, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266716270, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2713, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266718270, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2705, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266720244, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2697, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266722257, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2708, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266724260, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2707, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266726262, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2705, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266728270, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2701, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266730270, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2701, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266732272, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2698, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266734290, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2698, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266736277, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2715, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266738284, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2710, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266740282, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2694, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266742290, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2693, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266744335, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2693, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266746318, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2685, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266748321, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2687, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266750323, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2692, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266752313, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 2691, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266767411, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 5357, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266767427, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 5357, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266769416, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 3431, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266771427, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 5226, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266773429, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6956, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266775436, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7028, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266777458, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7050, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266779477, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7055, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266781479, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7066, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266783466, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7066, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715266785484, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7102, "metadata": ""}
